country,edu_adulit_2011,edu_prim_2020,edu_femalit_2009,edu_exp_2015,edu_adulit_2011_n,edu_prim_2020_n,edu_femalit_2009_n,edu_exp_2015_n,edu_s
Aruba,,,100.0,,,,68.81496881496881,,17.203742203742202
Afghanistan,39.0,,,10.2,8.433734939759038,,,15.744466800804826,6.044550435140966
Angola,70.4,,81.1,,55.72289156626507,,29.521829521829503,,21.31118027202364
Anguilla,,,,,,,,,0.0
Albania,96.8,99.5,,29.8,95.48192771084337,63.83248730964467,,65.04024144869214,56.088664117295046
Netherlands Antilles,96.5,,,,95.0301204819277,,,,23.757530120481924
UAE,,105.0,,,,70.81218274111676,,,17.70304568527919
Argentina,97.9,104.0,100.0,15.6,97.13855421686746,69.54314720812182,68.81496881496881,29.325955734406435,66.20565649359114
Armenia,99.6,102.0,100.0,11.0,99.69879518072287,67.00507614213198,68.81496881496881,17.756539235412472,63.31884484330904
Antigua and Barbuda,99.0,,,,98.79518072289154,,,,24.698795180722886
Azerbaijan,,98.5,,,,62.56345177664975,,,15.640862944162437
Burundi,,49.2,99.2,,,0.0,67.15176715176715,,16.787941787941786
Benin,,60.3,66.9,10.3,,14.08629441624365,0.0,15.995975855130785,7.520567567843608
Burkina Faso,,62.0,,16.1,,16.243654822335024,,30.58350100603622,11.706788957092812
Bangladesh,57.7,,104.0,,36.596385542168676,,77.13097713097713,,28.43184066828645
Bulgaria,98.3,91.2,99.9,,97.7409638554217,53.299492385786806,68.60706860706861,,54.91188121206928
Bahrain,,,100.0,11.2,,,68.81496881496881,18.259557344064383,21.768631539758296
Bosnia and Herzegovina,98.0,90.2,100.0,,97.289156626506,52.03045685279188,68.81496881496881,,54.53364557356667
Belarus,,95.6,100.0,,,58.88324873096446,68.81496881496881,,31.924554386483315
Belize,,105.0,,15.1,,70.81218274111676,,28.068410462776658,24.720148300973353
Bolivia,,87.9,,,,49.11167512690356,,,12.27791878172589
Brazil,,,,20.1,,,,40.643863179074444,10.160965794768611
Brunei,95.5,100.0,99.9,,93.52409638554217,64.46700507614213,68.60706860706861,,56.64954251718823
Bhutan,,82.7,,,,42.51269035532995,,,10.628172588832488
Botswana,85.1,,103.0,,77.86144578313252,,75.05197505197505,,38.22835520877689
Central African Republic,56.6,,79.4,,34.93975903614458,,25.98752598752599,,15.231821255917643
Chile,,98.0,,15.2,,61.92893401015229,,28.319919517102612,22.562213381813727
China,,,99.8,,,,68.39916839916839,,17.099792099792097
Cote d'Ivoire,56.9,75.6,84.5,13.8,35.39156626506024,33.50253807106598,36.59043659043658,24.798792756539235,32.57083342077551
Cameroon,,66.5,,,,21.95431472081218,,,5.488578680203045
"Congo, Dem. Rep.",,78.7,84.8,,,37.43654822335026,37.2141372141372,,18.662671359371863
Colombia,93.6,99.6,101.0,17.4,90.66265060240963,63.959390862944154,70.89397089397089,33.853118712273634,64.84228276789958
Comoros,75.5,,98.7,,63.40361445783132,,66.11226611226611,,32.37897014252436
Cape Verde,84.9,,102.0,16.6,77.56024096385543,,72.97297297297297,31.841046277666,45.59356505362361
Costa Rica,96.3,96.8,101.0,26.7,94.72891566265059,60.406091370558364,70.89397089397089,57.24346076458752,70.81810967294183
Cuba,99.8,94.6,100.0,,100.0,57.614213197969534,68.81496881496881,,56.60729550323459
Cayman Islands,,,,,,,,,0.0
Cyprus,98.7,100.0,100.0,32.2,98.3433734939759,64.46700507614213,68.81496881496881,71.07645875251508,75.67545153440048
Dominican Republic,90.1,96.3,,14.9,85.39156626506023,59.771573604060904,,27.565392354124747,43.18213305581148
Algeria,,102.0,,,,67.00507614213198,,,16.751269035532996
Ecuador,91.6,98.2,100.0,9.43,87.65060240963855,62.182741116751274,68.81496881496881,13.807847082494968,58.1140398559634
Egypt,73.0,96.6,,,59.63855421686746,60.15228426395938,,,29.94770962020671
Eritrea,68.9,,93.6,,53.46385542168676,,55.509355509355494,,27.24330273276056
Spain,,96.0,99.9,17.3,,59.390862944162436,68.60706860706861,33.60160965794769,40.399885302294685
Estonia,99.8,95.8,100.0,20.0,100.0,59.137055837563445,68.81496881496881,40.39235412474848,67.08609469432018
Ethiopia,,64.1,,7.88,,18.908629441624356,,9.909456740442655,7.204521545516753
Gabon,89.0,,98.0,,83.73493975903614,,64.65696465696466,,37.097976104000196
Georgia,99.7,95.1,100.0,,99.84939759036145,58.24873096446699,68.81496881496881,,56.72827434244931
Ghana,,,97.3,,,,63.20166320166319,,15.800415800415797
Guinea,,60.8,79.1,,,14.720812182741112,25.36382536382534,,10.021159386641614
Gambia,51.1,71.7,84.5,8.47,26.656626506024097,28.553299492385786,36.59043659043658,11.393360160965797,25.798430687453067
Guinea-Bissau,55.3,,81.3,,32.98192771084337,,29.93762993762992,,15.729889412118323
Equatorial Guinea,94.2,,101.0,,91.56626506024095,,70.89397089397089,,40.61505898855296
Greece,97.3,99.8,99.9,20.2,96.23493975903614,64.21319796954313,68.60706860706861,40.895372233400394,67.48764464226207
Guatemala,75.9,81.3,95.0,10.1,64.00602409638554,40.73604060913705,58.41995841995842,15.49295774647887,44.66374521798998
Guyana,,,,,,,,,0.0
Honduras,85.1,,,,77.86144578313252,,,,19.46536144578313
Croatia,98.9,97.8,100.0,,98.644578313253,61.67512690355329,68.81496881496881,,57.28366850794378
Haiti,,,,,,,,,0.0
Hungary,99.0,93.3,100.0,18.7,98.79518072289154,55.96446700507613,68.81496881496881,37.12273641851106,65.17433824036188
Indonesia,92.8,103.0,,13.3,89.4578313253012,68.2741116751269,,23.541247484909455,45.31829762133439
India,62.8,,,,44.27710843373494,,,,11.069277108433734
Iran,,98.0,,7.55,,61.92893401015229,,9.079476861167,17.75210271782982
Iraq,78.5,,94.7,,67.92168674698794,,57.79625779625779,,31.429486135811434
Israel,,98.5,,21.3,,62.56345177664975,,43.66197183098591,26.556355901908915
Italy,99.0,98.7,100.0,21.7,98.79518072289154,62.81725888324873,68.81496881496881,44.66800804828973,68.7738541173497
Jamaica,87.0,79.8,107.0,22.2,80.72289156626505,38.83248730964466,83.36798336798337,45.92555331991951,62.21222889095315
Jordan,95.9,,,,94.12650602409639,,,,23.531626506024097
Kazakhstan,,101.0,100.0,,,65.73604060913706,68.81496881496881,,33.63775235602647
Kenya,,,102.0,11.0,,,72.97297297297297,17.756539235412472,22.68237805209636
Kyrgyz Republic,,101.0,100.0,,,65.73604060913706,68.81496881496881,,33.63775235602647
Cambodia,,94.9,,,,57.994923857868024,,,14.498730964467006
Kuwait,,,,,,,,,0.0
Lao,,91.0,,,,53.04568527918782,,,13.261421319796955
Lebanon,,,,,,,,,0.0
Liberia,,,115.0,3.94,,,100.0,0.0,25.0
Libya,89.5,,99.9,,84.48795180722891,,68.60706860706861,,38.27375510357438
Sri Lanka,,96.6,,7.44,,60.15228426395938,,8.802816901408452,17.23877529134196
Lesotho,,,114.0,,,,97.92099792099792,,24.48024948024948
Lithuania,99.7,104.0,100.0,18.6,99.84939759036145,69.54314720812182,68.81496881496881,36.87122736418511,68.7696852444093
Latvia,99.8,98.3,100.0,26.8,100.0,62.30964467005075,68.81496881496881,57.494969818913475,72.15489582598326
"Macao, China",95.6,91.7,,,93.67469879518072,53.934010152284266,,,36.902177236866244
Morocco,67.1,96.9,83.2,,50.75301204819276,60.53299492385787,33.88773388773389,,36.29343521494613
Moldova,99.0,104.0,100.0,34.8,98.79518072289154,69.54314720812182,68.81496881496881,77.61569416498992,78.69224772774302
Madagascar,,59.2,,,,12.69035532994924,,,3.17258883248731
Maldives,,,,18.7,,,,37.12273641851106,9.280684104627765
Mexico,93.5,103.0,99.7,14.4,90.51204819277108,68.2741116751269,68.1912681912682,26.307847082494966,63.321318785415286
North Macedonia,97.4,89.2,99.6,,96.38554216867469,50.76142131979696,67.98336798336797,,53.7825828679599
Mali,33.4,,,13.4,0.0,,,23.792756539235413,5.948189134808853
Malta,,97.8,,22.8,,61.67512690355329,,47.434607645875246,27.277433637357134
Myanmar,92.7,,99.2,,89.30722891566265,,67.15176715176715,,39.114749016857445
Montenegro,98.5,101.0,,,98.04216867469877,65.73604060913706,,,40.94455232095896
Mongolia,97.4,97.0,103.0,13.2,96.38554216867469,60.65989847715736,75.05197505197505,23.289738430583498,63.84678853209765
Mozambique,,61.5,81.5,,,15.60913705583756,30.353430353430348,,11.490641852316976
Mauritania,58.6,,90.8,9.6,37.95180722891567,,49.68814968814967,14.235412474849094,25.46884234797861
Mauritius,88.8,95.9,102.0,12.5,83.43373493975903,59.263959390862944,72.97297297297297,21.52917505030181,59.299960588474185
Malawi,,,99.0,9.55,,,66.73596673596674,14.109657947686118,20.211406170913214
Malaysia,,100.0,100.0,16.1,,64.46700507614213,68.81496881496881,30.58350100603622,40.96636872428679
Namibia,,,104.0,,,,77.13097713097713,,19.282744282744282
